id,gender,type_of_clothing,color,season,usage,product_display_name
1,Female,Tshirts,Black,Summer,Casual,Nope Women Black T-Shirts
2,Female,Tshirts,Black,Rainy,Casual,Knitwear Women Black T-Shirts 
3,Female,Tshirts,Black,Summer,Casual,Black Butterfly Women T-Shirts
4,Female,Tshirts,White,Summer,Casual,Cherry White Pink T-Shirts
5,Female,Tshirts,White,Summer,Casual,Cute Dog Women T-Shirts
6,Female,Tshirts,White,Rainy,Casual,Knitwear Women White T-Shirts 
7,Female,Tshirts,Blue,Rainy,Casual,Blue Sweater Ocean
8,Female,Tshirts,Blue,Summer,Casual,Croptop Women Blue T-Shirts
9,Female,Tshirts,Blue,Summer,Sports,Sports Women Blue T-Shirts
10,Female,Tshirts,Brown,Summer,Casual,Off-White Women Brown T-Shirts
11,Female,Tshirts,Brown,Summer,Casual,Plain Brown Women T-Shirts
12,Female,Tshirts,Brown,Summer,Casual,Brown Star Women T-Shirts
13,Female,Tshirts,Grey,Summer,Casual,The Hermit Cat Women T-Shirts
14,Female,Tshirts,Grey,Rainy,Casual,Champion Women Grey T-Shirts
15,Female,Tshirts,Grey,Summer,Casual,Dog Mom Women Grey T-Shirts
16,Female,Tshirts,Grey,Summer,Casual,California Women T-Shirts
17,Female,Tshirts,Red,Summer,Casual,Force the Change Orange Women T-Shirts
18,Female,Tshirts,Red,Summer,Casual,Rule the World Pinky Women
19,Female,Tshirts,Red,Summer,Casual,Red Women T-Shirts
20,Female,Tshirts,White,Summer,Casual,Black Cream Stripes Long Sleeve Tshirt
21,Female,Shirts,Red,Summer,Formal,Pink Blazer Women
22,Female,Shirts,Red,Summer,Ethnic,Batik Top Maroon Women Shirt
23,Female,Shirts,Brown,Summer,Ethnic,Chinesse Brown Women Shirt
24,Female,Shirts,Blue,Summer,Ethnic,Blue Batik Women Silk Shirts
25,Female,Shirts,Brown,Summer,Formal,Brown Crop Shirts Women
26,Female,Shirts,Grey,Rainy,Formal,Grey Crop Jacket
27,Female,Shirts,Grey,Summer,Casual,Grey Polo Women Shirts
28,Female,Shirts,Grey,Summer,Casual,Line Grey Women Shirts
29,Female,Shirts,Brown,Summer,Formal,Beige Women Shirts
30,Female,Shirts,Brown,Rainy,Casual,Bird Brown Women Long Shirts
31,Female,Shirts,Brown,Rainy,Casual,Dark Brown Women Jacket
32,Female,Shirts,Blue,Summer,Casual,Flower Blue Women Shirts
33,Female,Shirts,Blue,Rainy,Casual,Dot Blue Women Long Shirts
34,Female,Shirts,Blue,Summer,Formal,Blue Line Women Shirts
35,Female,Shirts,White,Rainy,Casual,Louis Heart Sweatshirt
36,Female,Shirts,White,Summer,Formal,White Women Shirts
37,Female,Shirts,White,Summer,Casual,White Crop Women Shirts
38,Female,Shirts,Black,Rainy,Casual,Black Long Women Shirts 
39,Female,Shirts,Black,Summer,Casual,Black Polo Women Shirts
40,Female,Shirts,Black,Summer,Formal,Black Women Shirts
41,Unisex,Tshirts,Black,Summer,Casual,Sync Black Unisex Oversized T-Shirts
42,Unisex,Tshirts,White,Summer,Casual,Step into the Past White T-Shirts
43,Unisex,Tshirts,Brown,Summer,Casual,Fish Off-White Unisex T-SHirts
44,Unisex,Tshirts,Brown,Summer,Casual,Lost in Space Brown Unisex T-Shirts
45,Unisex,Tshirts,Grey,Summer,Casual,Flower Grey Unisex T-Shirts
46,Unisex,Shirts,Blue,Rainy,Casual,Blue White Unisex Sweater
47,Unisex,Shirts,Brown,Summer,Casual,Character Brown Unisex Shirts
48,Unisex,Shirts,Blue,Summer,Formal,Blue People Unisex Shirts
49,Unisex,Shirts,White,Summer,Casual,Luoqing White Unisex Shirts
50,Unisex,Shirts,Black,Summer,Casual,Black Unisex Shirts
51,Male,Shirts,White,Summer,Formal,ZARA Off-white Shirts 
52,Unisex,Shirts,Brown,Summer,Casual,Gucci Kids Shirts
53,Male,Shirts,White,Summer,Casual,Yellow Stripes Shirts
54,Male,Shirts,Brown,Rainy,Formal,Zara Brown Long Sleeve Shirts
55,Unisex,Shirts,Brown,Rainy,Casual,Kids Apparel Unisex
56,Male,Shirts,White,Summer,Formal,Zara White Shirts Men
57,Male,Shirts,Grey,Rainy,Casual,Long Sleeve Shirts Men
58,Unisex,Shirts,White,Summer,Formal,White Shirts Unisex
59,Male,Shirts,Grey,Summer,Formal,Grey Shirts Men 
60,Male,Shirts,Brown,Summer,Ethnic,Ethnic Shirts Men
61,Male,Tshirts,Grey,Rainy,Sports,Vest Sporty
62,Unisex,Shirts,Grey,Summer,Casual,Grey Stripes Shirts Unisex Casual
